,0,1,2,3,4,5
exchange,10.0,10.0,10.0,10.0,10.0,10.0
eta,0.1,0.1,0.1,0.1,0.1,0.1
interest,1.1,1.1,1.1,1.1,1.1,1.1
num_states,50.0,50.0,50.0,50.0,50.0,50.0
num_families,100.0,100.0,100.0,100.0,100.0,100.0
population_ratio,43.140747388218635,43.669625295001865,42.85347501297938,43.48596357763914,43.98081553673212,43.94838251264287
hierarchy,0.5013814413983825,0.5000930565403656,0.49675716148592725,0.503426771570813,0.504939287843833,0.5040290316716236
cluster_index,0.1866671415646432,0.19099437474644848,0.1891272926627423,0.18843266424723704,0.18913657567626627,0.18916918938160335
corrcoef,0.5252348059959833,0.530622245735998,0.5138133721478836,0.5197162991841209,0.5282953992051942,0.5156303462071734
independent_duration,22.77449435440732,22.541590744757773,23.3682626063799,23.929003876475456,22.476494797553837,23.71991746784319
subordinate_duration,2.258713516576934,2.27124036382918,2.23740834234884,2.26475098878037,2.255037884894406,2.2646866574066506
rich_duration,5.273246417411917,5.898906296186817,5.029176848170977,5.3862453259036585,5.842969800486972,5.557115931852619
connectivity_exp,5.412179984572763e-05,5.633419229013696e-05,5.662659658874767e-05,6.216806339693862e-05,5.8723215314273674e-05,5.598910401587334e-05
connectivity_power,6.833829579683608,6.482136165711294,6.664381394063421,6.158597134794997,6.308607171467647,6.653929479354312
connectivity_gini,0.20776767384231212,0.21283793323968825,0.20577501316321875,0.20975132973509233,0.21154858397824886,0.21030095902958526
wealth_exp,4.589421767569431e-05,4.8403917137604906e-05,4.534816828352624e-05,4.890311387421573e-05,4.7828542584399526e-05,4.636622989239611e-05
wealth_power,2.6236861561001095,2.4726496423245363,2.6513151877234162,2.46073920786515,2.5130285219544124,2.6082406443560835
wealth_gini,0.7698063096279988,0.7778506209181154,0.7661069585656215,0.771231253500162,0.7728801508248221,0.7734597167953876
payback,0.5308384341318167,0.5249015405346443,0.5311222610503766,0.5270883165540213,0.5212249442026884,0.5192189786181128
